chunk_id,text
0,think python think like computer scientist nd edition version think python think like computer scientist nd edition version allen downey green tea press needham massachusettscopyright © allen downey green tea press washburn ave needham permission granted copy distribute andor modify document term creative common attributionnoncommercial unported license available http creativecommonsorglicensesbync original form book latex source code compiling latex source effect gen erating deviceindependent representation textbook converted format printed latex source book available httpwwwthinkpythoncompreface strange history book january preparing teach introductory programming class java taught three time getting frustrated failure rate class high even student succeeded overall level achievement low
1,introductory programming class java taught three time getting frustrated failure rate class high even student succeeded overall level achievement low one problem saw book big much unnecessary detail java enough highlevel guidance program suffered trap door effect would start easy proceed gradually somewhere around chapter bottom would fall student would get much new material fast would spend rest semester picking piece two week ﬁrst day class decided write book goal • keep short better student read page read page • careful vocabulary tried minimize jargon deﬁne term ﬁrst use • build gradually avoid trap door took difﬁcult topic split series small step • focus programming programming language included minimum useful subset java left rest needed title whim chose think like computer
2,series small step • focus programming programming language included minimum useful subset java left rest needed title whim chose think like computer scientist ﬁrst version rough worked student reading understood enough could spend class time hard topic interesting topic important letting student practice released book gnu free documentation license allows user copy modify distribute book happened next cool part jeff elkner high school teacher virginia adopted book translated python sent copy translation unusual experience learning python reading book green tea press published ﬁrst python version started teaching olin college got teach python ﬁrst time contrast java striking student struggled less learned worked interesting project generally lot funvi chapter preface since ’ continued
3,ﬁrst time contrast java striking student struggled less learned worked interesting project generally lot funvi chapter preface since ’ continued develop book correcting error improving example adding material especially exercise result book less grandiose titlethink python change • added section debugging end chapter section present general technique ﬁnding avoiding bug warning python pit fall • added exercise ranging short test understanding substantial project exercise include link solution • added series case study — longer example exercise solution dis cussion • expanded discussion program development plan basic design pattern • added appendix debugging analysis algorithm second edition think python new feature • book supporting code updated python • added section detail web help
4,appendix debugging analysis algorithm second edition think python new feature • book supporting code updated python • added section detail web help beginner get started running python browser ’ deal installing python want • chapter switched turtle graphic package called swampy standard python module turtle easier install powerful • added new chapter called “ goody ” introduces additional python feature strictly necessary sometimes handy hope enjoy working book help learn program think like computer scientist least little bit allen b downey olin college acknowledgment many thanks jeff elkner translated java book python got project started introduced turned favorite language thanks also chris meyers contributed several section think like com puter scientist thanks free software foundation
5,turned favorite language thanks also chris meyers contributed several section think like com puter scientist thanks free software foundation developing gnu free documentation li cense helped make collaboration jeff chris possible creative common license using nowvii thanks editor lulu worked think like computer scientist thanks editor ’ reilly medium worked onthink python thanks student worked earlier version book con tributors listed sent correction suggestion contributor list sharpeyed thoughtful reader sent suggestion correction past year contribution enthusiasm project huge help suggestion correction please send email feedbackthinkpythoncom make change based feedback add contributor list unless ask omitted include least part sentence error appears make easy search page section number
6,make change based feedback add contributor list unless ask omitted include least part sentence error appears make easy search page section number ﬁne quite easy work thanks • lloyd hugh allen sent correction section • yvon boulianne sent correction semantic error chapter • fred bremmer submitted correction section • jonah cohen wrote perl script convert latex source book beautiful html • michael conlon sent grammar correction chapter improvement style chapter initiated discussion technical aspect interpreter • benoît girard sent correction humorous mistake section • courtney gleason katherine smith wrote horsebetpy used case study earlier version book program found website • lee harr submitted correction room list indeed listed one principal editor text • james kaylin student using text
7,book program found website • lee harr submitted correction room list indeed listed one principal editor text • james kaylin student using text submitted numerous correction • david kershaw ﬁxed broken cattwice function section • eddie lam sent numerous correction chapter also ﬁxed makeﬁle creates index ﬁrst time run helped u set versioning scheme • manyong lee sent correction example code section • david mayo pointed word “ unconsciously chapter needed changed “ subconsciously • chris mcaloon sent several correction section • matthew j moelter longtime contributor sent numerous correction suggestion bookviii chapter preface • simon dicon montford reported missing function deﬁnition several typo chapter also found error increment function chapter • john ouzts corrected deﬁnition “ return
8,reported missing function deﬁnition several typo chapter also found error increment function chapter • john ouzts corrected deﬁnition “ return value chapter • kevin park sent valuable comment suggestion improve distribution book • david pool sent typo glossary chapter well kind word encouragement • michael schmitt sent correction chapter ﬁles exception • robin shaw pointed error section printtime function used example without deﬁned • paul sleigh found error chapter bug jonah cohen ’ perl script generates html latex • craig snydal testing text course drew university contributed several valuable suggestion correction • ian thomas student using text programming course ﬁrst one test chapter latter half book made numerous correction suggestion • keith verheyden sent correction chapter • peter
9,text programming course ﬁrst one test chapter latter half book made numerous correction suggestion • keith verheyden sent correction chapter • peter winstanley let u know longstanding error latin chapter • chris wrobel made correction code chapter ﬁle io exception • moshe zadka made invaluable contribution project addition writing ﬁrst draft chapter dictionary provided continual guidance early stage book • christoph zwerschke sent several correction pedagogic suggestion explained difference gleich selbe • james mayer sent u whole slew spelling typographical error including two contributor list • hayden mcafee caught potentially confusing inconsistency two example • angel arnal part international team translator working spanish version text also found several error english version •
10,inconsistency two example • angel arnal part international team translator working spanish version text also found several error english version • tauhidul hoque lex berezhny created illustration chapter improved many illustration • dr michele alzetta caught error chapter sent interesting pedagogic com ments suggestion fibonacci old maid • andy mitchell caught typo chapter broken example chapter • kalin harvey suggested clariﬁcation chapter caught typo • christopher p smith caught several typo helped u update book python • david hutchins caught typo foreword • gregor lingl teaching python high school vienna austria working ger man translation book caught couple bad error chapter ix • julie peter caught typo preface • florin oprina sent improvement maketime correction printtime nice typo •
11,book caught couple bad error chapter ix • julie peter caught typo preface • florin oprina sent improvement maketime correction printtime nice typo • j webre suggested clariﬁcation chapter • ken found ﬁstful error chapter • ivo wever caught typo chapter suggested clariﬁcation chapter • curtis yanko suggested clariﬁcation chapter • ben logan sent number typo problem translating book html • jason armstrong saw missing word chapter • louis cordier noticed spot chapter code ’ match text • brian cain suggested several clariﬁcations chapter • rob black sent passel correction including change python • jeanphilippe rey école centrale paris sent number patch including update python thoughtful improvement • jason mader george washington university made number useful suggestion cor rections • jan
12,patch including update python thoughtful improvement • jason mader george washington university made number useful suggestion cor rections • jan gundtoftebruun reminded u “ error ” error • abel david alexis dinno reminded u plural “ matrix ” “ matrix ” “ trixes ” error book year two reader initial reported day weird • charles thayer encouraged u get rid semicolon put end statement clean use “ argument ” “ parameter ” • roger sperberg pointed twisted piece logic chapter • sam bull pointed confusing paragraph chapter • andrew cheung pointed two instance “ use def ” • c corey capel spotted missing word third theorem debugging typo chapter • alessandra helped clear turtle confusion • wim champagne found braino dictionary example • douglas wright pointed problem ﬂoor division arc • jared
13,• alessandra helped clear turtle confusion • wim champagne found braino dictionary example • douglas wright pointed problem ﬂoor division arc • jared spindor found jetsam end sentence • lin peiheng sent number helpful suggestion • ray hagtvedt sent two error notquiteerror • torsten hübsch pointed inconsistency swampy • inga petuhhov corrected example chapter • arne babenhauserheide sent several helpful correctionsx chapter preface • mark e casida good spotting repeated word • scott tyler ﬁlled missing sent heap correction • gordon shephard sent several correction separate email • andrew turner spotted error chapter • adam hobart ﬁxed problem ﬂoor division arc • daryl hammond sarah zimmerman pointed served mathpi early zim spotted typo • george sas found bug debugging section • brian
14,ﬂoor division arc • daryl hammond sarah zimmerman pointed served mathpi early zim spotted typo • george sas found bug debugging section • brian bingham suggested exercise • leah engelbertfenton pointed used tuple variable name contrary advice found bunch typo “ use def ” • joe funke spotted typo • chaochao chen found inconsistency fibonacci example • jeff paine know difference space spam • lubos pintes sent typo • gregg lind abigail heithoff suggested exercise • max hailperin sent number correction suggestion max one author extraordinary concrete abstraction might want read done book • chotipat pornavalai found error error message • stanislaw antol sent list helpful suggestion • eric pashman sent number correction chapter – • miguel azevedo found typo • jianhua liu sent long list
15,stanislaw antol sent list helpful suggestion • eric pashman sent number correction chapter – • miguel azevedo found typo • jianhua liu sent long list correction • nick king found missing word • martin zuther sent long list suggestion • adam zimmerman found inconsistency instance “ instance ” several error • ratnakar tiwari suggested footnote explaining degenerate triangle • anurag goel suggested another solution isabecedarian sent additional correc tions know spell jane austen • kelli kratzer spotted one typo • mark grifﬁths pointed confusing example chapter • roydan ongie found error newton ’ method • patryk wolowiec helped problem html versionxi • mark chonofsky told new keyword python • russell coleman helped geometry • nam nguyen found typo pointed used decorator pattern ’ men tion
16,• mark chonofsky told new keyword python • russell coleman helped geometry • nam nguyen found typo pointed used decorator pattern ’ men tion name • stéphane morin sent several correction suggestion • paul stoop corrected typo usesonly • eric bronner pointed confusion discussion order operation • alexandros gezerlis set new standard number quality suggestion submit ted deeply grateful • gray thomas know right left • giovanni escobar sosa sent long list correction suggestion • daniel neilson corrected error order operation • mcginnis pointed polyline deﬁned differently two place • frank hecker pointed exercise underspeciﬁed broken link • animesh b helped clean confusing example • martin caspersen found two roundoff error • gregor ulm sent several correction suggestion • dimitrios tsirigkas
17,b helped clean confusing example • martin caspersen found two roundoff error • gregor ulm sent several correction suggestion • dimitrios tsirigkas suggested clarify exercise • carlos tafur sent page correction suggestion • martin nordsletten found bug exercise solution • sven hoexter pointed variable named input shadow buildin function • stephen gregory pointed problem cmp python • ishwar bhat corrected statement fermat ’ last theorem • andrea zanella translated book italian sent number correction along way • many many thanks melissa lewis luciano ramalho excellent comment sug gestions second edition • thanks harry percival pythonanywhere help getting people started running python browser • xavier van aubel made several useful correction second edition • william murray corrected deﬁnition
